Probe	Ensembl	chromosome_name
7105	ENSG00000000003	X
64102	ENSG00000000005	X
8813	ENSG00000000419	20
57147	ENSG00000000457	1
55732	ENSG00000000460	1
2268	ENSG00000000938	1
3075	ENSG00000000971	1
2519	ENSG00000001036	6
2729	ENSG00000001084	6
4800	ENSG00000001167	6
90529	ENSG00000001460	1
57185	ENSG00000001461	1
81887	ENSG00000001497	X
22875	ENSG00000001561	6
6405	ENSG00000001617	3
1080	ENSG00000001626	7
54467	ENSG00000001629	7
1595	ENSG00000001630	7
889	ENSG00000001631	7
5893	ENSG00000002016	12
572	ENSG00000002330	11
51056	ENSG00000002549	4
4267	ENSG00000002586	X
9957	ENSG00000002587	4
26	ENSG00000002726	7
51384	ENSG00000002745	7
23072	ENSG00000002746	7
8379	ENSG00000002822	7
3927	ENSG00000002834	17
29916	ENSG00000002919	17
55365	ENSG00000002933	7
4074	ENSG00000003056	12
90293	ENSG00000003096	X
56603	ENSG00000003137	2
3382	ENSG00000003147	7
79007	ENSG00000003249	16
57679	ENSG00000003393	2
843	ENSG00000003400	2
8837	ENSG00000003402	2
7035	ENSG00000003436	2
55471	ENSG00000003509	2
10181	ENSG00000003756	3
9108	ENSG00000003987	8
6542	ENSG00000003989	8
381	ENSG00000004059	7
23098	ENSG00000004139	17
26073	ENSG00000004142	17
23129	ENSG00000004399	3
204	ENSG00000004455	1
952	ENSG00000004468	4
2288	ENSG00000004478	12
23028	ENSG00000004487	1
10180	ENSG00000004534	3
84254	ENSG00000004660	17
5965	ENSG00000004700	12
55610	ENSG00000004766	7
126393	ENSG00000004776	19
115703	ENSG00000004777	19
4706	ENSG00000004779	16
5166	ENSG00000004799	7
85413	ENSG00000004809	6
51364	ENSG00000004838	3
340273	ENSG00000004846	7
170302	ENSG00000004848	X
10165	ENSG00000004864	7
93655	ENSG00000004866	7
996	ENSG00000004897	17
6521	ENSG00000004939	17
799	ENSG00000004948	7
3052	ENSG00000004961	X
1856	ENSG00000004975	17
64063	ENSG00000005001	16
5976	ENSG00000005007	19
8935	ENSG00000005020	7
292	ENSG00000005022	X
55013	ENSG00000005059	4
3207	ENSG00000005073	7
5439	ENSG00000005075	7
56919	ENSG00000005100	17
4222	ENSG00000005102	17
221981	ENSG00000005108	7
3980	ENSG00000005156	17
79657	ENSG00000005175	12
6296	ENSG00000005187	16
81691	ENSG00000005189	16
57019	ENSG00000005194	16
56928	ENSG00000005206	19
80256	ENSG00000005238	9
51226	ENSG00000005243	17
5577	ENSG00000005249	7
10943	ENSG00000005302	X
1387	ENSG00000005339	16
9256	ENSG00000005379	17
4353	ENSG00000005381	17
5444	ENSG00000005421	7
6936	ENSG00000005436	2
84058	ENSG00000005448	2
54677	ENSG00000005469	7
5244	ENSG00000005471	7
55904	ENSG00000005483	7
57414	ENSG00000005486	7
30812	ENSG00000005513	16
25998	ENSG00000005700	6
7748	ENSG00000005801	11
23077	ENSG00000005810	13
26224	ENSG00000005812	13
3683	ENSG00000005844	16
5164	ENSG00000005882	17
3675	ENSG00000005884	17
7543	ENSG00000005889	X
3920	ENSG00000005893	X
3674	ENSG00000005961	17
51666	ENSG00000005981	7
51573	ENSG00000006007	16
55049	ENSG00000006015	19
9244	ENSG00000006016	19
114881	ENSG00000006025	17
26022	ENSG00000006042	17
51087	ENSG00000006047	17
3883	ENSG00000006059	17
9020	ENSG00000006062	17
6833	ENSG00000006071	11
10368	ENSG00000006116	16
54972	ENSG00000006118	11
163	ENSG00000006125	17
6863	ENSG00000006128	7
10127	ENSG00000006194	16
6376	ENSG00000006210	16
64847	ENSG00000006282	17
8913	ENSG00000006283	17
51330	ENSG00000006327	16
1750	ENSG00000006377	7
4293	ENSG00000006432	14
5898	ENSG00000006451	7
55971	ENSG00000006453	7
80853	ENSG00000006459	7
2115	ENSG00000006468	7
55750	ENSG00000006530	7
221	ENSG00000006534	11
55001	ENSG00000006555	1
57157	ENSG00000006576	7
10344	ENSG00000006606	7
9855	ENSG00000006607	2
10083	ENSG00000006611	11
79017	ENSG00000006625	7
10926	ENSG00000006634	7
6915	ENSG00000006638	19
3475	ENSG00000006652	7
56891	ENSG00000006659	19
1352	ENSG00000006695	17
9569	ENSG00000006704	7
54623	ENSG00000006712	19
27072	ENSG00000006715	7
9912	ENSG00000006740	17
60528	ENSG00000006744	17
85477	ENSG00000006747	7
414	ENSG00000006756	X
8228	ENSG00000006757	X
8735	ENSG00000006788	17
79602	ENSG00000006831	12
51265	ENSG00000006837	5
151531	ENSG00000007001	2
10942	ENSG00000007038	16
57787	ENSG00000007047	19
8842	ENSG00000007062	4
115098	ENSG00000007080	19
90273	ENSG00000007129	19
5048	ENSG00000007168	17
4843	ENSG00000007171	17
1770	ENSG00000007174	17
9703	ENSG00000007202	17
9058	ENSG00000007216	17
8522	ENSG00000007237	17
79090	ENSG00000007255	19
4145	ENSG00000007264	19
1087	ENSG00000007306	19
974	ENSG00000007312	17
6329	ENSG00000007314	17
54879	ENSG00000007341	1
8277	ENSG00000007350	X
5080	ENSG00000007372	11
113000	ENSG00000007376	16
64285	ENSG00000007384	16
55692	ENSG00000007392	16
9254	ENSG00000007402	3
8938	ENSG00000007516	16
115939	ENSG00000007520	16
9091	ENSG00000007541	16
57585	ENSG00000007545	16
7005	ENSG00000007866	6
6401	ENSG00000007908	1
55735	ENSG00000007923	1
2328	ENSG00000007933	1
29116	ENSG00000007944	6
27035	ENSG00000007952	X
1870	ENSG00000007968	1
5689	ENSG00000008018	6
6853	ENSG00000008056	X
3720	ENSG00000008083	6
6792	ENSG00000008086	X
57172	ENSG00000008118	1
728642	ENSG00000008128	1
65220	ENSG00000008130	1
7021	ENSG00000008196	6
83741	ENSG00000008197	6
9940	ENSG00000008226	3
9265	ENSG00000008256	7
53616	ENSG00000008277	7
6856	ENSG00000008282	7
1534	ENSG00000008283	17
9043	ENSG00000008294	17
1951	ENSG00000008300	3
10157	ENSG00000008311	7
55200	ENSG00000008323	12
51188	ENSG00000008324	3
84954	ENSG00000008382	19
4257	ENSG00000008394	12
1407	ENSG00000008405	12
8993	ENSG00000008438	19
4784	ENSG00000008441	19
6482	ENSG00000008513	8
64386	ENSG00000008516	16
9235	ENSG00000008517	16
5310	ENSG00000008710	16
23542	ENSG00000008735	22
9862	ENSG00000008838	17
23221	ENSG00000008853	8
54497	ENSG00000008869	2
7095	ENSG00000008952	3
6224	ENSG00000008988	8
7812	ENSG00000009307	1
9690	ENSG00000009335	7
5980	ENSG00000009413	6
10178	ENSG00000009694	X
5081	ENSG00000009709	1
10747	ENSG00000009724	1
389434	ENSG00000009765	6
199870	ENSG00000009780	1
80342	ENSG00000009790	1
29954	ENSG00000009830	14
51534	ENSG00000009844	6
51085	ENSG00000009950	7
9031	ENSG00000009954	7
10048	ENSG00000010017	6
51513	ENSG00000010030	6
83932	ENSG00000010072	1
51603	ENSG00000010165	1
8798	ENSG00000010219	12
7756	ENSG00000010244	17
7384	ENSG00000010256	3
83930	ENSG00000010270	7
928	ENSG00000010278	12
57467	ENSG00000010282	3
9918	ENSG00000010292	12
25900	ENSG00000010295	12
2696	ENSG00000010310	19
51533	ENSG00000010318	3
56920	ENSG00000010319	3
11188	ENSG00000010322	3
23166	ENSG00000010327	3
80199	ENSG00000010361	19
6540	ENSG00000010379	12
3423	ENSG00000010404	X
5646	ENSG00000010438	9
7752	ENSG00000010539	16
